itemid,cameraid,objecttype,color,trajcentroids,largestbbox,itemheadings
de898d510f6443bc9b22bd26d90e239b,scene-0062,vehicle.car,default_color,"{[010100008002F00E230D2FA1400A83FBA592758840000000000000C0BF@2018-08-01 12:54:13.912404+00, 0101000080B48DFECAD32EA1404CE3E076B5758840989999999999B9BF@2018-08-01 12:54:14.412404+00]}","STBOX Z((2199.466871924138,780.7043161898412,-0.125),(2199.4724442738247,784.7058951080267,-0.09999999999999998))","{[271.5299999888107@2018-08-01 12:54:13.912404+00, 271.5299999888107@2018-08-01 12:54:14.412404+00]}"
f4faf65de9bc4968ad76635659730533,scene-0062,vehicle.car,default_color,"{[01010000802FAF2471A319A140E445BF9762728840F4D24D621058C9BF@2018-08-01 12:54:13.912404+00, 0101000080528A1EF04D19A140ECF1DBF1C6728840F4D24D621058C9BF@2018-08-01 12:54:14.412404+00]}","STBOX Z((2188.6092733283795,779.9645664199851,-0.19800000000000006),(2188.86217185134,784.6807155744921,-0.19800000000000006))","{[275.1409999843595@2018-08-01 12:54:13.912404+00, 275.1409999843595@2018-08-01 12:54:14.412404+00]}"
3d4a9a1b28c2407b89a544511fbe1698,scene-0062,vehicle.car,default_color,"{[01010000800C260F31F513A14050086BE0FB7188408816D9CEF753CBBF@2018-08-01 12:54:13.912404+00, 0101000080CE1B388DC413A140D81E44AFF371884078931804560EBDBF@2018-08-01 12:54:14.412404+00]}","STBOX Z((2185.893593645596,779.7989740000872,-0.21350000000000002),(2185.9691861879955,784.6929992745085,-0.11350000000000005))","{[271.99799998844753@2018-08-01 12:54:13.912404+00, 271.99799998844753@2018-08-01 12:54:14.412404+00]}"
1ff902dcf7ed4ef1952ef98ffe54d109,scene-0062,vehicle.car,default_color,"{[010100008092CE1AE214C1A14034F2059E1C858840E04F8D976E12D33F@2018-08-01 12:54:13.912404+00, 0101000080D65987C910C1A140E4646E2F0A8588401C2FDD240681D53F@2018-08-01 12:54:14.412404+00]}","STBOX Z((2272.3371492730334,781.81934070828,0.29800000000000004),(2272.736425811111,787.4496058524919,0.3360000000000001))","{[274.1440000042203@2018-08-01 12:54:13.912404+00, 274.1440000042203@2018-08-01 12:54:14.412404+00]}"
b29e7542fe424f3eba12bc4842f2e10d,scene-0063,movable_object.trafficcone,default_color,"{[0101000080C1755C85EE7A9F40C37E7F78ED348840E07A14AE47E1D23F@2018-08-01 12:54:35.262404+00, 0101000080BE6AC121347B9F40689176B15A3588406A91ED7C3F35D63F@2018-08-01 12:54:38.262404+00, 010100008034FED9258A7B9F40EC7CC86979358840F6FDD478E926D93F@2018-08-01 12:54:38.762404+00]}","STBOX Z((2014.6371219233185,774.5842134641466,0.29499999999999993),(2014.9793953805683,774.7030803536527,0.3930000000000001))","{[352.66199999564554@2018-08-01 12:54:35.262404+00, 355.6619999956456@2018-08-01 12:54:38.262404+00, 355.6619999956456@2018-08-01 12:54:38.762404+00]}"
f32bc3625917424993329c3f7a0d73b8,scene-0063,movable_object.trafficcone,default_color,"{[0101000080B32801DEFEFD9E403EAD4E1C570D88405839B4C876BEBF3F@2018-08-01 12:54:35.262404+00, 0101000080FF5F8A1FDFFD9E40202863CA9E0C88401083C0CAA145C63F@2018-08-01 12:54:38.262404+00, 01010000807C9FBF7D19FE9E400A4F94D24A0C88405CBA490C022BC73F@2018-08-01 12:54:38.762404+00]}","STBOX Z((1983.4743794511303,769.3371399127633,0.124),(1983.518408058996,769.8669290086349,0.18099999999999994))","{[271.86299999943003@2018-08-01 12:54:35.262404+00, 271.86299999943003@2018-08-01 12:54:38.762404+00]}"
7cbefe39b9fe40b4958965de2e8033c7,scene-0063,movable_object.trafficcone,default_color,"{[0101000080A68D63EE62D59E40E8019314590288401C2FDD240681CD3F@2018-08-01 12:54:38.262404+00, 0101000080E81412E54FD59E403472ECC8F90188405C0E2DB29DEFCF3F@2018-08-01 12:54:38.762404+00]}","STBOX Z((1973.252644058582,768.1303220854165,0.23050000000000004),(1973.4166598448246,768.4058892484405,0.24950000000000017))","{[309.89799999993244@2018-08-01 12:54:38.262404+00, 307.23133333326575@2018-08-01 12:54:38.762404+00]}"
8e3b8e77208e4f96807e69cea4348821,scene-0063,vehicle.car,default_color,"{[010100008063505B0E337F9E40560F50CE66328740C0F5285C8FC2C53F@2018-08-01 12:54:38.262404+00, 0101000080922D8014347F9E4022B195845A328740305EBA490C02CB3F@2018-08-01 12:54:38.762404+00]}","STBOX Z((1951.6872165445086,739.5620141599946,0.16999999999999993),(1951.9135023633844,745.0323822356278,0.21099999999999985))","{[92.35569493601099@2018-08-01 12:54:38.262404+00, 92.35569493601099@2018-08-01 12:54:38.762404+00]}"
3ef3c16f601b4d0dafa53c19c2f521d7,scene-0063,movable_object.trafficcone,default_color,"{[0101000080865FF64E3A12A040F8C8B546DD338840E6A59BC420B0D23F@2018-08-01 12:54:35.262404+00, 0101000080865FF64E3A12A040F8C8B546DD338840E6A59BC420B0D23F@2018-08-01 12:54:38.762404+00]}","STBOX Z((2056.902039611247,774.4337668523721,0.29200000000000015),(2057.3257277592834,774.5323231977447,0.29200000000000015))","{[346.90499999618623@2018-08-01 12:54:35.262404+00, 346.90499999618623@2018-08-01 12:54:38.762404+00]}"
3dfcaa3c0092413eb5038d8eacf1fb5c,scene-0063,vehicle.car,default_color,"{[0101000080E8744C3749279F4000090E68C8AE874016AE47E17A14D23F@2018-08-01 12:54:38.262404+00, 010100008004CFB07228279F4000090E68C8AE87404E62105839B4D43F@2018-08-01 12:54:38.762404+00]}","STBOX Z((1993.7891519217599,755.354854743129,0.2825000000000001),(1993.8218480985254,760.3408546945267,0.3235))","{[90.00799999811@2018-08-01 12:54:38.262404+00, 90.00799999811@2018-08-01 12:54:38.762404+00]}"
cb254093b3f4452294f7cea91968ae2b,scene-0063,vehicle.trailer,default_color,"{[0101000080C0E1CD5291099F40E0B5EE4648478B40FCA9F1D24D62E63F@2018-08-01 12:54:38.262404+00, 0101000080407711DE7D0A9F4074CEF29C56478B401083C0CAA145E43F@2018-08-01 12:54:38.762404+00]}","STBOX Z((1981.0655524578438,872.7594659011488,0.6334999999999997),(1991.9492824132644,873.0681171847228,0.6995))","{[181.62200001557267@2018-08-01 12:54:38.262404+00, 181.62200001557267@2018-08-01 12:54:38.762404+00]}"
b85de3f2c7d14443a6c1588bbe00d885,scene-0063,movable_object.trafficcone,default_color,"{[0101000080305A9BD1CC089F40CED1F143E501884084C0CAA145B6D33F@2018-08-01 12:54:38.262404+00, 0101000080C69D263EB4089F408E710C73C201884084C0CAA145B6D33F@2018-08-01 12:54:38.762404+00]}","STBOX Z((1986.102862615855,768.0337719797883,0.30800000000000005),(1986.2731740574613,768.4231200208208,0.30800000000000005))","{[297.5579999992833@2018-08-01 12:54:38.262404+00, 297.5579999992833@2018-08-01 12:54:38.762404+00]}"
b6d316fef2ad48dfad6f3ecf0de98617,scene-0063,vehicle.car,default_color,"{[010100008074F8CCBC14139F4046829C40AA3A874046E17A14AE47D13F@2018-08-01 12:54:38.262404+00, 0101000080925231F873139F409A6542DC6E398740B2C876BE9F1AD73F@2018-08-01 12:54:38.762404+00]}","STBOX Z((1988.716784299488,740.9022189748044,0.2699999999999999),(1988.9167186352818,745.6100431229847,0.3609999999999999))","{[91.2599999983027@2018-08-01 12:54:38.262404+00, 91.2599999983027@2018-08-01 12:54:38.762404+00]}"
ae579bde401245f49a8105cc6c01b74b,scene-0063,vehicle.car,default_color,"{[01010000804EE825ADE8999F40F6F05D17324B884000AC1C5A643BAF3F@2018-08-01 12:54:35.262404+00, 01010000804EE825ADE8999F40F6F05D17324B8840F4D24D621058C93F@2018-08-01 12:54:38.262404+00, 01010000807CC54AB3E9999F40B9E68673C14A8840CCCCCCCCCCCCCC3F@2018-08-01 12:54:38.762404+00]}","STBOX Z((2022.4253200746973,775.1045832934531,0.06099999999999994),(2022.530125940286,779.6393339694179,0.22499999999999998))","{[271.3530000003518@2018-08-01 12:54:35.262404+00, 271.3530000003518@2018-08-01 12:54:38.762404+00]}"
d8c520d0e13146558644d1816e97971a,scene-0063,vehicle.car,default_color,"{[0101000080E1637C408D3A9E40E0FE16D582118A4052B81E85EB51E2BF@2018-08-01 12:54:38.262404+00, 01010000802071DE79A53A9E4012C4626F13F58940323333333333DFBF@2018-08-01 12:54:38.762404+00]}","STBOX Z((1934.6120928356045,828.23894529456,-0.5725),(1934.663789777761,836.5852435951899,-0.48749999999999993))","{[270.6180000070778@2018-08-01 12:54:38.262404+00, 271.61800000707774@2018-08-01 12:54:38.762404+00]}"
df69a835c7c54fd5a0d4d80718abf15d,scene-0063,vehicle.car,default_color,"{[010100008088A1570EBBFC9D40CDC29F7099B38A40020000000000E0BF@2018-08-01 12:54:38.262404+00, 010100008088A1570EBBFC9D40CDC29F7099B38A40528D976E1283E0BF@2018-08-01 12:54:38.762404+00]}","STBOX Z((1919.1404679192035,852.1273052546214,-0.5160000000000002),(1919.2248758789267,856.7725384345958,-0.5000000000000002))","{[88.95900001314703@2018-08-01 12:54:38.262404+00, 88.95900001314703@2018-08-01 12:54:38.762404+00]}"
275d766039444aad9eb76ae85b11528c,scene-0063,movable_object.trafficcone,default_color,"{[0101000080E642EFE9BCBC9E4070D83434020088409C45B6F3FDD4C83F@2018-08-01 12:54:38.262404+00, 01010000809034C2379FBC9E40DEEAB7F4CCFF8740603BDF4F8D97CE3F@2018-08-01 12:54:38.762404+00]}","STBOX Z((1967.1575288996623,767.8220897757899,0.19399999999999984),(1967.1824433798065,768.1540625009266,0.23899999999999988))","{[270.7649999999928@2018-08-01 12:54:38.262404+00, 270.7649999999928@2018-08-01 12:54:38.762404+00]}"
d8a323f9e69a45bba45e547989d2e35e,scene-0063,vehicle.car,default_color,"{[0101000080CAD3ADB997639F403C764C365C58884000E9263108AC6CBF@2018-08-01 12:54:35.262404+00, 0101000080A2771EF7A1639F40487877BD725888401083C0CAA145A63F@2018-08-01 12:54:38.262404+00, 01010000808EC9D615A7639F40EABD2DB170588840508D976E1283B03F@2018-08-01 12:54:38.762404+00]}","STBOX Z((2006.6032958054132,778.8772252973791,-0.0034999999999999476),(2011.2080426880327,779.2238255856436,0.0645))","{[184.1820000000878@2018-08-01 12:54:35.262404+00, 184.1820000000878@2018-08-01 12:54:38.762404+00]}"
76f04a30e0e94d1e87c9935c6350295d,scene-0063,vehicle.truck,default_color,"{[0101000080090709955A829E409FB9D74C223F8B403008AC1C5A64E3BF@2018-08-01 12:54:38.262404+00, 0101000080E956962C498E9E4010F7E123C63F8B40F0A7C64B3789E1BF@2018-08-01 12:54:38.762404+00]}","STBOX Z((1951.1484971478146,871.8374643525617,-0.6059999999999999),(1957.0114211510106,872.0260319039847,-0.548))","{[1.739000000309943@2018-08-01 12:54:38.262404+00, 1.739000000309943@2018-08-01 12:54:38.762404+00]}"
7b34b3da2c4a4678b22ee73779e937f5,scene-0063,movable_object.trafficcone,default_color,"{[0101000080C24606855CBC9E401A37E85616248840DAF97E6ABC74C33F@2018-08-01 12:54:38.262404+00, 010100008098BFEFAB8DBC9E4036914C92F52388405CE5D022DBF9BE3F@2018-08-01 12:54:38.762404+00]}","STBOX Z((1967.0920423058499,772.2685973522472,0.12099999999999994),(1967.1366600906742,772.7372185469943,0.15199999999999997))","{[281.56452631795617@2018-08-01 12:54:38.262404+00, 281.56452631795617@2018-08-01 12:54:38.762404+00]}"
0e5684ceded44cb190e83e45d8700d7f,scene-0063,vehicle.car,default_color,"{[01010000800E9634B92DDA9E408279C3D996AA874076BE9F1A2FDDD03F@2018-08-01 12:54:38.262404+00, 0101000080CA0AC8D131DA9E40040F076503AB87401A2FDD240681D13F@2018-08-01 12:54:38.762404+00]}","STBOX Z((1974.4607185255745,754.97312259957,0.26349999999999996),(1974.6325851046029,759.7271924775358,0.27349999999999997))","{[91.99999999867981@2018-08-01 12:54:38.262404+00, 91.99999999867981@2018-08-01 12:54:38.762404+00]}"
df06e5a5a78a4d658e36ee08187656bd,scene-0063,vehicle.car,default_color,"{[0101000080904AEA93FDD89E40720EF372283B8740BE7493180456D63F@2018-08-01 12:54:38.262404+00, 0101000080741B0D6FF7D89E40A86CADBC343B8740BA490C022B87D63F@2018-08-01 12:54:38.762404+00]}","STBOX Z((1974.1567573001382,741.2036342710505,0.3490000000000001),(1974.3325118282812,745.591866726261,0.352))","{[272.37500004115464@2018-08-01 12:54:38.262404+00, 272.37500004115464@2018-08-01 12:54:38.762404+00]}"
a16f03f9016f4743ae5b5ccb74bd203b,scene-0063,vehicle.truck,default_color,"{[0101000080C4F45B5897AF9E408669059FBD738B40FCA9F1D24D62E0BF@2018-08-01 12:54:38.262404+00, 010100008086EA84B426B09E40783C5301CE738B40D8A3703D0AD7E3BF@2018-08-01 12:54:38.762404+00]}","STBOX Z((1960.218382719559,878.2599101002183,-0.6200000000000001),(1967.7172132826654,878.6832668297951,-0.512))","{[3.2320000000094637@2018-08-01 12:54:38.262404+00, 3.2320000000094637@2018-08-01 12:54:38.762404+00]}"
5bc169e180b7401db7a005566b1f23a3,scene-0063,vehicle.truck,default_color,{[0101000080806B69A0F0EF9E404F3EB80DFB468B40B8490C022B87E03F@2018-08-01 12:54:38.762404+00]},"STBOX Z((1976.9931198058116,872.8443862438232,0.5164999999999997),(1982.9768540390717,872.9007832801817,0.5164999999999997))",{[180.53999999975628@2018-08-01 12:54:38.762404+00]}
6abeb111755e457ebccb263fe0da1569,scene-0063,vehicle.car,default_color,"{[010100008080CBE01C0EA99F40AE40A01152D9884040DF4F8D976ED23F@2018-08-01 12:54:35.262404+00, 01010000800F8ED6456AA89F40D79C2FD447D98840C820B0726891DD3F@2018-08-01 12:54:38.262404+00, 0101000080F008EBF331A89F401B289CBB43D98840B01C5A643BDFDF3F@2018-08-01 12:54:38.762404+00]}","STBOX Z((2023.21365690783,795.0697677759744,0.28800000000000026),(2029.0989071646275,795.2533775868299,0.4980000000000002))","{[181.7840000028371@2018-08-01 12:54:35.262404+00, 181.7840000028371@2018-08-01 12:54:38.762404+00]}"
8953a990bf8c49c495c70ad787144c03,scene-0063,movable_object.trafficcone,default_color,"{[01010000800FDED8E09FED9E40D7E09CE792018840C0CAA145B6F3CD3F@2018-08-01 12:54:38.262404+00, 0101000080C8FC5DCCF1ED9E40DF8CB941F7018840EE7C3F355EBAD13F@2018-08-01 12:54:38.762404+00]}","STBOX Z((1979.431741896182,768.0479185637256,0.23399999999999999),(1979.4605204263457,768.3945430940113,0.277))","{[279.76499999999305@2018-08-01 12:54:38.262404+00, 279.76499999999305@2018-08-01 12:54:38.762404+00]}"
64a2eeb725b14c619f88857ea4a267f8,scene-0063,movable_object.trafficcone,default_color,"{[01010000802A1E6F05B4289F40B43E810E3F1B8840DC2406819543C33F@2018-08-01 12:54:38.262404+00, 0101000080D40F425396289F40BCEA9D68A31B884040355EBA490CCA3F@2018-08-01 12:54:38.762404+00]}","STBOX Z((1994.0777209658886,771.2178422781548,0.15049999999999997),(1994.2448829926534,771.6427364910066,0.20350000000000001))","{[297.5579999992833@2018-08-01 12:54:38.262404+00, 297.5579999992833@2018-08-01 12:54:38.762404+00]}"
8d71204e72df440f96ac7634a4bac4b7,scene-0063,movable_object.trafficcone,default_color,"{[010100008048923CEA3CE79E401ECB4BD34A05884076931804560EC53F@2018-08-01 12:54:38.262404+00, 010100008032B96DF268E79E404DA870D9CB048840F653E3A59BC4C83F@2018-08-01 12:54:38.762404+00]}","STBOX Z((1977.7422503258017,768.4320602733125,0.16450000000000004),(1977.9197242576872,768.8290113822206,0.19349999999999995))","{[303.35400000216663@2018-08-01 12:54:38.262404+00, 303.35400000216663@2018-08-01 12:54:38.762404+00]}"
2870b8a9dda24f36b8fc966f4665486e,scene-0063,vehicle.trailer,default_color,"{[010100008030E504CE955F9E40EA71E941BE3E8B40243108AC1C5AE2BF@2018-08-01 12:54:38.262404+00, 010100008008B4FC21F96C9E401C7A955E183E8B403A0AD7A3703DE0BF@2018-08-01 12:54:38.762404+00]}","STBOX Z((1940.6001940250887,871.6643024428802,-0.5734999999999997),(1950.5393934010747,871.9404958660435,-0.5074999999999996))","{[1.5399999997563327@2018-08-01 12:54:38.262404+00, 1.5399999997563327@2018-08-01 12:54:38.762404+00]}"
aed55bb065234996a5a727a39ea5b71c,scene-0063,vehicle.truck,default_color,"{[01010000805E24DE91CFAC9E40D9DE21CC765187401C85EB51B81ECD3F@2018-08-01 12:54:38.262404+00, 01010000805E24DE91CFAC9E40D9DE21CC765187401C85EB51B81ECD3F@2018-08-01 12:54:38.762404+00]}","STBOX Z((1960.271351076365,746.1010240098803,0.22749999999999992),(1966.1340586811914,746.2649890680716,0.22749999999999992))","{[1.6019999987889832@2018-08-01 12:54:38.262404+00, 1.6019999987889832@2018-08-01 12:54:38.762404+00]}"
