cameraid,frameid,framenum,filename,cameratranslation,camerarotation,cameraintrinsic,egotranslation,egorotation,timestamp,cameraheading,egoheading
scene-0638,4debd53a1f7646dca88006fca3203f5e,4,samples/CAM_FRONT/n008-2018-09-18-14-35-12-0400__CAM_FRONT__1537296215162404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080BCEBBD0A88D2964098211142DC3694400000000000000000,"{0.51513463,0.0035011943,0.0022246228,-0.85709924}",2018-09-18 11:43:35.162404+00,152.60219,152.01428
scene-0820,badde016c07b413ead44d6ad563b8f1d,1,samples/CAM_FRONT/n008-2018-09-18-15-26-58-0400__CAM_FRONT__1537299486862404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",01010000804288C69B34709E4056E037EC4D4B90400000000000000000,"{-0.09345639,-0.00069205405,0.0039484706,-0.9956153}",2018-09-18 12:38:06.862404+00,79.8627,79.2748
scene-0820,de14c7d6eb7e4d40b01c57b07a4503d2,2,samples/CAM_FRONT/n008-2018-09-18-15-26-58-0400__CAM_FRONT__1537299488912404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",01010000804647F4D3BD3C9E405771C75DB96190400000000000000000,"{-0.24723941,-0.0029724452,-0.0062857624,-0.96892947}",2018-09-18 12:38:08.912404+00,61.961483,61.373585
scene-0820,13e2c2c78ba74ff4918096983da7ef9d,3,samples/CAM_FRONT/n008-2018-09-18-15-26-58-0400__CAM_FRONT__1537299490912404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080D627E2F195039E4091860126448390400000000000000000,"{-0.2664317,-0.0028087192,-0.0065950016,-0.96382713}",2018-09-18 12:38:10.912404+00,59.68587,59.097973
scene-0820,0ede6bb3d4a04c1d9ab167c85cf6d8df,4,samples/CAM_FRONT/n008-2018-09-18-15-26-58-0400__CAM_FRONT__1537299491412404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080F7952B476EF59D409AFB688F058C90400000000000000000,"{-0.2707796,-0.002482824,-0.0050465567,-0.9626249}",2018-09-18 12:38:11.412404+00,59.167862,58.579964
scene-0820,ebccf67c722440ae9942e141d53faf30,5,samples/CAM_FRONT/n008-2018-09-18-15-26-58-0400__CAM_FRONT__1537299492412404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080CE5AB93662D99D400E7A2372A39D90400000000000000000,"{-0.27573317,-0.001541525,-0.003863582,-0.9612252}",2018-09-18 12:38:12.412404+00,58.57715,57.989254
scene-0820,297f6c2a8b2847aea23ae43b3fbbdcda,6,samples/CAM_FRONT/n008-2018-09-18-15-26-58-0400__CAM_FRONT__1537299496912404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080FCFE1DB670609D4059FA585F6CF190400000000000000000,"{-0.38453987,0.0037491412,-0.003206461,-0.92309517}",2018-09-18 12:38:16.912404+00,45.355835,44.767937
scene-0820,d180ea7a38e44ef49942febd9c57d27f,7,samples/CAM_FRONT/n008-2018-09-18-15-26-58-0400__CAM_FRONT__1537299505412404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",01010000809402E897DAB69C4036517E5A35EC91400000000000000000,"{-0.47588482,-0.0056048734,-0.01588678,-0.87934625}",2018-09-18 12:38:25.412404+00,33.76133,33.173435
scene-0820,c9fa19ee9a3748c2bd9e6533eceb9043,8,samples/CAM_FRONT/n008-2018-09-18-15-26-58-0400__CAM_FRONT__1537299505912404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080ECBB028DD3AD9C405AD53F785DFA91400000000000000000,"{-0.47650087,-0.005354748,-0.015490767,-0.8790212}",2018-09-18 12:38:25.912404+00,33.680656,33.09276
scene-0908,d1a8e9f63f8b4e57bf42be0f00a069c2,1,samples/CAM_FRONT/n008-2018-09-18-15-12-01-0400__CAM_FRONT__1537298033662404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",010100008000CCBD3B95D99640B8837A64414394400000000000000000,"{0.5149837,-0.00065087556,-0.00068882725,-0.85719943}",2018-09-18 12:13:53.662404+00,152.58067,151.99278
scene-0908,77f9b16f246540019e4195e9c862fdf7,2,samples/CAM_FRONT/n008-2018-09-18-15-12-01-0400__CAM_FRONT__1537298034162404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",01010000803E318F802DD59640F56459DD0F3B94400000000000000000,"{0.51485837,-0.000251958,-4.7226076e-05,-0.85727525}",2018-09-18 12:13:54.162404+00,152.56387,151.97598
scene-0908,d193990f5d7a4bd3a332b07c04eb4d93,3,samples/CAM_FRONT/n008-2018-09-18-15-12-01-0400__CAM_FRONT__1537298034612404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",01010000809A7643D7CDD09640E23FF178D73294400000000000000000,"{0.5191234,-0.0004458186,0.0025449854,-0.8546954}",2018-09-18 12:13:54.612404+00,153.13469,152.5468
scene-0908,ef16a4eae9ee489282570c44dc198e56,4,samples/CAM_FRONT/n008-2018-09-18-15-12-01-0400__CAM_FRONT__1537298035112404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080FA22756BEDCB9640FE39EB95842994400000000000000000,"{0.52274245,-0.0014692425,0.003467392,-0.8524824}",2018-09-18 12:13:55.112404+00,153.6204,153.0325
scene-0451,e1fe1e393c7d45ad849d9926997d7150,1,samples/CAM_FRONT/n008-2018-09-18-12-07-26-0400__CAM_FRONT__1537287259162404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",01010000807336861858CC9E40ED224E2CF1D58F400000000000000000,"{0.9622235,0.009248646,-0.00169329,-0.27209848}",2018-09-18 09:14:19.162404+00,-120.98788,-121.575775
scene-0451,b2b0e8a8c4dd422a86a1ca7f8c6f77be,2,samples/CAM_FRONT/n008-2018-09-18-12-07-26-0400__CAM_FRONT__1537287264162404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080FA0F8B0A66729F40DA1A13C7C5068F400000000000000000,"{0.9638531,0.006391314,-0.0012948691,-0.2663543}",2018-09-18 09:14:24.162404+00,-120.30569,-120.893585
scene-0557,5862a51ccddd4aa5b28000698700cc38,1,samples/CAM_FRONT/n008-2018-08-31-11-37-23-0400__CAM_FRONT__1535730284362404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",01010000807F10D5EB896793401037222444F38D400000000000000000,"{-0.3690705,0.00014867443,-0.00982344,-0.9293495}",2018-08-31 08:44:44.362404+00,47.272766,46.684868
scene-0557,b7a8aea755ed481f9c37018dced4379c,2,samples/CAM_FRONT/n008-2018-08-31-11-37-23-0400__CAM_FRONT__1535730284862404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",01010000805ED991A52F64934067446DE1BDF98D400000000000000000,"{-0.36586675,0.0008294476,-0.014887103,-0.9305478}",2018-08-31 08:44:44.862404+00,47.668606,47.080708
scene-0557,379b621dfb3340fea34db3354c599d3d,3,samples/CAM_FRONT/n008-2018-08-31-11-37-23-0400__CAM_FRONT__1535730285362404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",010100008003F850B2596193401EADC5A630FF8D400000000000000000,"{-0.3627626,0.0031714886,-0.009466561,-0.9318281}",2018-08-31 08:44:45.362404+00,48.04631,47.458416
scene-0557,6e52dfb4f861491a98c8836640f5b0db,4,samples/CAM_FRONT/n008-2018-08-31-11-37-23-0400__CAM_FRONT__1535730285912404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080FAF66E9D375F934029687B523A038E400000000000000000,"{-0.3608366,0.0055412976,-0.007873215,-0.93257934}",2018-08-31 08:44:45.912404+00,48.280186,47.692287
scene-0557,7643448ae9a946e9a2024e929d3ac8cf,5,samples/CAM_FRONT/n008-2018-08-31-11-37-23-0400__CAM_FRONT__1535730286412404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080A099659E285E934050DC9E1B30058E400000000000000000,"{-0.3601225,0.004775913,-0.011224765,-0.93282527}",2018-08-31 08:44:46.412404+00,48.36859,47.780693
scene-0557,57b2cadb06fb42ee8c4ef1dddeffbce6,6,samples/CAM_FRONT/n008-2018-08-31-11-37-23-0400__CAM_FRONT__1535730286912404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080DEB947E0E05D9340BD2BFB18BC058E400000000000000000,"{-0.35959718,0.0028518334,-0.011075725,-0.9330375}",2018-08-31 08:44:46.912404+00,48.43581,47.84791
scene-0557,b33d64ef274b41e99158a39bd0d5fe69,7,samples/CAM_FRONT/n008-2018-08-31-11-37-23-0400__CAM_FRONT__1535730287412404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080C408C93DE85D934084355D61BA058E400000000000000000,"{-0.3596341,0.0017737892,-0.010690048,-0.9330305}",2018-08-31 08:44:47.412404+00,48.432514,47.844616
scene-0557,b78ebea0f6da430580aac26f2441446a,8,samples/CAM_FRONT/n008-2018-08-31-11-37-23-0400__CAM_FRONT__1535730288512404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080B6306098EF5D934059E309D3BE058E400000000000000000,"{-0.3594305,0.001228102,-0.010413211,-0.933113}",2018-08-31 08:44:48.512404+00,48.458046,47.870148
scene-0557,9a125cf1b4e3425c987d891391e9e2ce,9,samples/CAM_FRONT/n008-2018-08-31-11-37-23-0400__CAM_FRONT__1535730289012404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080C054FB00F15D934067321D02C2058E400000000000000000,"{-0.35944286,0.0011484858,-0.010385987,-0.93310857}",2018-08-31 08:44:49.012404+00,48.4566,47.868702
scene-0557,0d60624f76764c198ce555b458d9854a,10,samples/CAM_FRONT/n008-2018-08-31-11-37-23-0400__CAM_FRONT__1535730289512404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",010100008086124530F25D9340DB27A59BC4058E400000000000000000,"{-0.3593964,0.0011754602,-0.010419937,-0.9331261}",2018-08-31 08:44:49.512404+00,48.462284,47.87439
scene-0557,889a4c4edaa54d388e403d5d61902233,11,samples/CAM_FRONT/n008-2018-08-31-11-37-23-0400__CAM_FRONT__1535730290012404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080324F752FF35D9340A00BB3C4C6058E400000000000000000,"{-0.35936534,0.0011772289,-0.010415701,-0.9331381}",2018-08-31 08:44:50.012404+00,48.4661,47.8782
scene-0557,86d68aca3e7b451d8354b7602b35e52d,12,samples/CAM_FRONT/n008-2018-08-31-11-37-23-0400__CAM_FRONT__1535730290512404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080A0A28404F45D934028E9F39BC8058E400000000000000000,"{-0.35935676,0.0011386232,-0.010341163,-0.93314224}",2018-08-31 08:44:50.512404+00,48.46717,47.879272
scene-0557,d43db4fdc5224a9d8474cff69120384e,13,samples/CAM_FRONT/n008-2018-08-31-11-37-23-0400__CAM_FRONT__1535730291012404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",01010000801859D6B7F45D93405FD7A02CCA058E400000000000000000,"{-0.35940206,0.001135724,-0.010336377,-0.9331249}",2018-08-31 08:44:51.012404+00,48.461613,47.873714
scene-0557,fd7b9e7222a1414886e7ae45f04a4c2f,14,samples/CAM_FRONT/n008-2018-08-31-11-37-23-0400__CAM_FRONT__1535730291512404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",01010000800CAE2E53F55D9340263C8A7CCB058E400000000000000000,"{-0.35933322,0.0011217982,-0.010289148,-0.9331519}",2018-08-31 08:44:51.512404+00,48.470066,47.88217
scene-0557,88fd9b8ea77f426195ae3aba0dbe58ed,15,samples/CAM_FRONT/n008-2018-08-31-11-37-23-0400__CAM_FRONT__1535730293412404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",01010000808C805AEAF65D93405300ABF7CE058E400000000000000000,"{-0.35933158,0.0010763253,-0.010322669,-0.93315226}",2018-08-31 08:44:53.412404+00,48.470325,47.882427
scene-0570,ad3ee991807a495fb2a62c99d8ab2b18,1,samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537290776862404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080C4A811C6C6348C405035D50FB08975400000000000000000,"{0.41508594,0.001953756,0.0060767992,-0.9097598}",2018-09-18 10:12:56.862404+00,139.63788,139.04999
scene-0300,6cedbf7a67784d8c9136efe3a8c7e03f,1,samples/CAM_FRONT/n008-2018-08-31-11-19-57-0400__CAM_FRONT__1535729317362404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",010100008000B6B99ED0778740F83A7B91DACB97400000000000000000,"{0.9380755,-0.0007034279,0.00632387,-0.3463725}",2018-08-31 08:28:37.362404+00,-129.94524,-130.53314
scene-0072,e7749f3d482d4dc086b63364836128c1,1,samples/CAM_FRONT/n008-2018-08-01-15-52-19-0400__CAM_FRONT__1533153633262404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080188B32B158339D4038973F00A4AD90400000000000000000,"{-0.87133324,-0.005736858,-0.0020780992,-0.49065375}",2018-08-01 13:00:33.262404+00,-30.64589,-31.233786
scene-0072,f82c02d180f64e22a200e70ce3c065bc,2,samples/CAM_FRONT/n008-2018-08-01-15-52-19-0400__CAM_FRONT__1533153633662404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",01010000809693FCEFBE349D4090F18A6FEEAF90400000000000000000,"{-0.8693855,-0.006125743,-0.0039186645,-0.494081}",2018-08-01 13:00:33.662404+00,-30.194542,-30.78244
scene-0072,07ab20722bc146299507403d5a5cc21a,3,samples/CAM_FRONT/n008-2018-08-01-15-52-19-0400__CAM_FRONT__1533153634162404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",01010000809E427B0B56369D401CD7F8538CB290400000000000000000,"{-0.8705679,-0.006151323,-0.003845565,-0.49199477}",2018-08-01 13:00:34.162404+00,-30.469376,-31.057274
scene-0072,4f2dfc19ae034c2a972a8923811cf147,4,samples/CAM_FRONT/n008-2018-08-01-15-52-19-0400__CAM_FRONT__1533153634662404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",01010000804C170735AB379D404E8B71CE9DB490400000000000000000,"{-0.87571025,-0.005123399,-0.0035436465,-0.48279685}",2018-08-01 13:00:34.662404+00,-31.676193,-32.26409
scene-0072,61a2b81ddd6f404ca963f6ae0c5b7f58,5,samples/CAM_FRONT/n008-2018-08-01-15-52-19-0400__CAM_FRONT__1533153635162404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080883ACA05B5389D40C6CE93A122B690400000000000000000,"{-0.8822091,-0.0048681484,-0.0035709124,-0.47081906}",2018-08-01 13:00:35.162404+00,-33.237663,-33.82556
scene-0072,c560d26f300b43e991fe54f38b80536e,6,samples/CAM_FRONT/n008-2018-08-01-15-52-19-0400__CAM_FRONT__1533153635662404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",010100008026101EF85B399D403F4FE08207B790400000000000000000,"{-0.88700944,-0.004733114,-0.003242709,-0.46171567}",2018-08-01 13:00:35.662404+00,-34.416943,-35.00484
scene-0072,13fad44dfc9a47d6b44e0bbc7d68de1f,7,samples/CAM_FRONT/n008-2018-08-01-15-52-19-0400__CAM_FRONT__1533153645412404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080D6DB2CF2BB3A9D40BB95600780B890400000000000000000,"{-0.8993453,-0.006640166,-7.4019525e-05,-0.43718868}",2018-08-01 13:00:45.412404+00,-37.563602,-38.1515
scene-0072,9219785fba404e909aa2de2d441b7ee1,8,samples/CAM_FRONT/n008-2018-08-01-15-52-19-0400__CAM_FRONT__1533153645862404.jpg,0101000080BC7F3AD5558DFB3F29C895367D79733F98001BCF29EBF73F,"{0.50772417,-0.49733922,0.49837166,-0.4964832}","{{1252.8131,0,826.58813},{0,1252.8131,469.98465},{0,0,1}}",0101000080889C4A88BE3B9D40C5E96A9BB8B990400000000000000000,"{-0.9086757,-0.0063309814,0.0008374092,-0.41745383}",2018-08-01 13:00:45.862404+00,-40.064465,-40.652363
